2026-09-13 00:09:56,582 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-13 00:09:56: {'train_loss': 0.49112468032458134, 'lr': 8.639341845107433e-05, 'val_loss': 1.8733531309115259, 'val_accuracy': 0.4479385964912281, 'val_precision': 0.3627768907496133, 'val_recall': 0.3870028322440088, 'val_f1': 0.3515918431295687, 'val_image_accuracy': 0.5, 'val_image_precision': 0.41090909090909095, 'val_image_recall': 0.4319607843137255, 'val_image_f1': 0.38239202657807303}
2026-09-13 00:09:56,582 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.3515918431295687 val_image_f1=0.38239202657807303
2026-09-13 00:09:56,582 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-13 00:17:28,790 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.486421
2026-09-13 00:17:46,709 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-13 00:17:46: {'train_loss': 0.4864213312725359, 'lr': 8.463301205792675e-05, 'val_loss': 1.8803894172007578, 'val_accuracy': 0.4311842105263158, 'val_precision': 0.3669176577478752, 'val_recall': 0.3728891067538126, 'val_f1': 0.34666801775439865, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.3927777777777778, 'val_image_recall': 0.40843137254901957, 'val_image_f1': 0.3699534013734904}
2026-09-13 00:17:46,710 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.34666801775439865 val_image_f1=0.3699534013734904
2026-09-13 00:17:46,710 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-13 00:25:16,685 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.481653
2026-09-13 00:25:34,581 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-13 00:25:34: {'train_loss': 0.4816528063061154, 'lr': 8.278860767257865e-05, 'val_loss': 1.8413113375400243, 'val_accuracy': 0.44469298245614036, 'val_precision': 0.3733277580941218, 'val_recall': 0.38463572984749456, 'val_f1': 0.34286770008154954, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.38835470085470086, 'val_image_recall': 0.4213071895424837, 'val_image_f1': 0.3674325674325674}
2026-09-13 00:25:34,581 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.34286770008154954 val_image_f1=0.3674325674325674
2026-09-13 00:25:34,581 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-13 00:33:06,837 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.478010
2026-09-13 00:33:24,709 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-13 00:33:24: {'train_loss': 0.4780100418845193, 'lr': 8.086543345964832e-05, 'val_loss': 1.8948636405405246, 'val_accuracy': 0.42596491228070177, 'val_precision': 0.34543947971569233, 'val_recall': 0.3669675381263616, 'val_f1': 0.33922933189253857, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.36682539682539683, 'val_image_recall': 0.387516339869281, 'val_image_f1': 0.3480971659919028}
2026-09-13 00:33:24,710 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.33922933189253857 val_image_f1=0.3480971659919028
