2026-09-12 06:08:08,451 | INFO | src.trainer.trainer | Epoch 26/60 val_f1=0.306205461867357 val_image_f1=0.2938369630973986
2026-09-12 06:08:08,451 | INFO | src.trainer.trainer | Epoch 27/60 learning rate set to 6.3338e-05
2026-09-12 06:08:38,287 | INFO | src.trainer.trainer | Epoch 27/60 train_loss=0.664017
2026-09-12 06:08:40,077 | INFO | src.trainer.history | Epoch 27 metrics saved at 2026-09-12 06:08:40: {'train_loss': 0.6640173663186779, 'lr': 6.333799258392015e-05, 'val_loss': 1.8421275641834527, 'val_accuracy': 0.3711622807017544, 'val_precision': 0.32821548549829865, 'val_recall': 0.3184368191721133, 'val_f1': 0.31659520721952883, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.3496491228070175, 'val_image_recall': 0.3515686274509804, 'val_image_f1': 0.3420905478981704}
2026-09-12 06:08:40,077 | INFO | src.trainer.trainer | Epoch 27/60 val_f1=0.31659520721952883 val_image_f1=0.3420905478981704
2026-09-12 06:08:40,077 | INFO | src.trainer.trainer | Early stopping at epoch 27 (val_f1 did not improve for 12 evals)
2026-09-12 06:08:40,125 | INFO | src.trainer.trainer | Saved final model to logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/model_final.pt
2026-09-12 06:08:40,125 | INFO | src.trainer.trainer | Best model is from epoch 15 (val_f1=0.3352)
2026-09-12 06:08:40,232 | INFO | src.trainer.trainer | Saved SWA model (best, 5 snapshots) to logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/model_swa.pt
2026-09-12 06:08:43,012 | INFO | src.trainer.trainer | Held-out test of best epoch 15: {'test_loss': 1.2461827885580925, 'test_accuracy': 0.5439276485788114, 'test_precision': 0.5451379795935132, 'test_recall': 0.5412803344568318, 'test_f1': 0.5379206859126755, 'test_image_accuracy': 0.6046511627906976, 'test_image_precision': 0.6097973710035421, 'test_image_recall': 0.6022468239564428, 'test_image_f1': 0.5994598197060578}
2026-09-12 06:08:47,534 | INFO | src.trainer.trainer | SWA (best, 5 snapshots) val score=0.3191272621971395
