2026-09-12 04:13:22,820 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3221162415010192 val_image_f1=0.37342557317526026
2026-09-12 04:13:22,820 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-12 04:14:46,367 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=0.691498
2026-09-12 04:14:50,854 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-12 04:14:50: {'train_loss': 0.691497875875703, 'lr': 8.639341845107433e-05, 'val_loss': 1.9436106069643695, 'val_accuracy': 0.3357142857142857, 'val_precision': 0.3184484150319705, 'val_recall': 0.2931036414565826, 'val_f1': 0.2950009834152858, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.3284842541135447, 'val_image_recall': 0.30692810457516345, 'val_image_f1': 0.30260243297222056}
2026-09-12 04:14:50,854 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.2950009834152858 val_image_f1=0.30260243297222056
2026-09-12 04:14:50,854 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-12 04:16:14,256 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.679102
2026-09-12 04:16:18,737 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-12 04:16:18: {'train_loss': 0.6791022342441569, 'lr': 8.463301205792675e-05, 'val_loss': 1.9289413427051745, 'val_accuracy': 0.35075187969924815, 'val_precision': 0.30618630928463764, 'val_recall': 0.30031559290382825, 'val_f1': 0.2941548410425212, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.3386363636363636, 'val_image_recall': 0.32738562091503265, 'val_image_f1': 0.31974232663887836}
2026-09-12 04:16:18,737 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.2941548410425212 val_image_f1=0.31974232663887836
2026-09-12 04:16:18,737 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-12 04:17:42,321 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.664904
2026-09-12 04:17:46,805 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-12 04:17:46: {'train_loss': 0.6649037434878032, 'lr': 8.278860767257865e-05, 'val_loss': 2.0728418966881317, 'val_accuracy': 0.31409774436090226, 'val_precision': 0.26975657995127017, 'val_recall': 0.2672016806722689, 'val_f1': 0.2646221694752428, 'val_image_accuracy': 0.3815789473684211, 'val_image_precision': 0.31348651348651346, 'val_image_recall': 0.32627450980392153, 'val_image_f1': 0.3151289989680083}
2026-09-12 04:17:46,806 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.2646221694752428 val_image_f1=0.3151289989680083
2026-09-12 04:17:46,806 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-12 04:19:10,134 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.650620
2026-09-12 04:19:14,612 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-12 04:19:14: {'train_loss': 0.6506198996993868, 'lr': 8.086543345964832e-05, 'val_loss': 1.912036639227903, 'val_accuracy': 0.36390977443609024, 'val_precision': 0.3118737404893267, 'val_recall': 0.31411764705882356, 'val_f1': 0.3001612651187341, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.35126050420168065, 'val_image_recall': 0.3768627450980392, 'val_image_f1': 0.3508204474201605}
2026-09-12 04:19:14,613 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.3001612651187341 val_image_f1=0.3508204474201605
2026-09-12 04:19:14,613 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-12 04:20:38,033 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.640088
