2026-09-13 09:34:20,044 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-13 09:34:20: {'train_loss': 0.6662982029939636, 'lr': 7.46788294206485e-05, 'val_loss': 1.7377205158534803, 'val_accuracy': 0.4182017543859649, 'val_precision': 0.35931640975539425, 'val_recall': 0.35968823529411764, 'val_f1': 0.34643727681323544, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.38679494435012257, 'val_image_recall': 0.39555555555555555, 'val_image_f1': 0.3712231462231462}
2026-09-13 09:34:20,044 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.34643727681323544 val_image_f1=0.3712231462231462
2026-09-13 09:34:20,044 | INFO | src.trainer.trainer | Epoch 23/60 learning rate set to 7.24971e-05
2026-09-13 09:36:19,281 | INFO | src.trainer.trainer | Epoch 23/60 train_loss=0.659966
2026-09-13 09:36:37,355 | INFO | src.trainer.trainer | Epoch 23: new best val_f1 0.3816, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/model_best.pt
2026-09-13 09:36:37,358 | INFO | src.trainer.history | Epoch 23 metrics saved at 2026-09-13 09:36:37: {'train_loss': 0.6599659323108222, 'lr': 7.249708789629944e-05, 'val_loss': 1.6506034922286084, 'val_accuracy': 0.46793859649122804, 'val_precision': 0.4034865666415567, 'val_recall': 0.4024740740740741, 'val_f1': 0.381559803360233, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.41969469810549265, 'val_image_recall': 0.43954248366013077, 'val_image_f1': 0.40723627733171747}
2026-09-13 09:36:37,358 | INFO | src.trainer.trainer | Epoch 23/60 val_f1=0.381559803360233 val_image_f1=0.40723627733171747
2026-09-13 09:36:37,358 | INFO | src.trainer.trainer | Epoch 24/60 learning rate set to 7.02657e-05
2026-09-13 09:38:35,801 | INFO | src.trainer.trainer | Epoch 24/60 train_loss=0.651746
2026-09-13 09:38:53,770 | INFO | src.trainer.history | Epoch 24 metrics saved at 2026-09-13 09:38:53: {'train_loss': 0.6517461497215492, 'lr': 7.026574897531136e-05, 'val_loss': 1.7873969389158382, 'val_accuracy': 0.43469298245614035, 'val_precision': 0.38286537496863804, 'val_recall': 0.3756947712418301, 'val_f1': 0.35711644928669506, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.44432523997741386, 'val_image_recall': 0.4413071895424837, 'val_image_f1': 0.39990708478513354}
