2026-09-13 06:19:44,017 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-13 06:21:42,804 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=0.701801
2026-09-13 06:22:00,772 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-13 06:22:00: {'train_loss': 0.7018005556801822, 'lr': 8.463301205792675e-05, 'val_loss': 1.6761298186423486, 'val_accuracy': 0.4605263157894737, 'val_precision': 0.3842873211004841, 'val_recall': 0.396375816993464, 'val_f1': 0.36704909303790656, 'val_image_accuracy': 0.5394736842105263, 'val_image_precision': 0.4471369707303211, 'val_image_recall': 0.46483660130718957, 'val_image_f1': 0.4167601708471446}
2026-09-13 06:22:00,773 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.36704909303790656 val_image_f1=0.4167601708471446
2026-09-13 06:22:00,773 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-13 06:23:59,654 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=0.684493
2026-09-13 06:24:17,609 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-13 06:24:17: {'train_loss': 0.6844933239406538, 'lr': 8.278860767257865e-05, 'val_loss': 1.7118875897662682, 'val_accuracy': 0.4542982456140351, 'val_precision': 0.3722644368844418, 'val_recall': 0.3937884531590414, 'val_f1': 0.3541864837404568, 'val_image_accuracy': 0.5, 'val_image_precision': 0.40755494505494505, 'val_image_recall': 0.4306535947712418, 'val_image_f1': 0.37835497835497833}
2026-09-13 06:24:17,610 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.3541864837404568 val_image_f1=0.37835497835497833
2026-09-13 06:24:17,610 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-13 06:26:16,574 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=0.678669
2026-09-13 06:26:34,551 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-13 06:26:34: {'train_loss': 0.6786686352472794, 'lr': 8.086543345964832e-05, 'val_loss': 1.7008045929565765, 'val_accuracy': 0.48223684210526313, 'val_precision': 0.4042387818618602, 'val_recall': 0.4157714596949892, 'val_f1': 0.370231581886801, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4514285714285714, 'val_image_recall': 0.44307189542483655, 'val_image_f1': 0.3895644585299758}
2026-09-13 06:26:34,551 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.370231581886801 val_image_f1=0.3895644585299758
2026-09-13 06:26:34,551 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-13 06:28:32,666 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=0.671730
2026-09-13 06:28:50,616 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-13 06:28:50: {'train_loss': 0.671729922124697, 'lr': 7.886894086538841e-05, 'val_loss': 1.7820850509823414, 'val_accuracy': 0.4225877192982456, 'val_precision': 0.36312067829939865, 'val_recall': 0.373344008714597, 'val_f1': 0.34391465286202255, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.37332603539500087, 'val_image_recall': 0.4188888888888889, 'val_image_f1': 0.36333288868138464}
2026-09-13 06:28:50,616 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.34391465286202255 val_image_f1=0.36333288868138464
2026-09-13 06:28:50,616 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-13 06:30:47,584 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=0.663427
2026-09-13 06:31:05,567 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-13 06:31:05: {'train_loss': 0.6634265456486386, 'lr': 7.680478916496926e-05, 'val_loss': 1.7168738455103154, 'val_accuracy': 0.4330701754385965, 'val_precision': 0.36163269986369434, 'val_recall': 0.37335555555555555, 'val_f1': 0.34336278341460214, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3645833333333333, 'val_image_recall': 0.3960130718954248, 'val_image_f1': 0.34936054421768703}
2026-09-13 06:31:05,567 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.34336278341460214 val_image_f1=0.34936054421768703
2026-09-13 06:31:05,567 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-13 06:33:04,413 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=0.648653
2026-09-13 06:33:22,347 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-13 06:33:22: {'train_loss': 0.6486528311823595, 'lr': 7.46788294206485e-05, 'val_loss': 1.6362990372641044, 'val_accuracy': 0.4675, 'val_precision': 0.379963500597134, 'val_recall': 0.4015891067538127, 'val_f1': 0.3703661700509325, 'val_image_accuracy': 0.5, 'val_image_precision': 0.3941880341880342, 'val_image_recall': 0.43130718954248365, 'val_image_f1': 0.3868220668220668}
2026-09-13 06:33:22,348 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.3703661700509325 val_image_f1=0.3868220668220668
2026-09-13 06:33:22,348 | INFO | src.trainer.trainer | Epoch 23/60 learning rate set to 7.24971e-05
2026-09-13 06:35:21,442 | INFO | src.trainer.trainer | Epoch 23/60 train_loss=0.644788
2026-09-13 06:35:39,506 | INFO | src.trainer.trainer | Epoch 23: new best val_f1 0.3806, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/model_best.pt
2026-09-13 06:35:39,509 | INFO | src.trainer.history | Epoch 23 metrics saved at 2026-09-13 06:35:39: {'train_loss': 0.6447875062606914, 'lr': 7.249708789629944e-05, 'val_loss': 1.6589801073178911, 'val_accuracy': 0.46635964912280703, 'val_precision': 0.4038329563135014, 'val_recall': 0.40267581699346405, 'val_f1': 0.38059108968887945, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.39664502164502163, 'val_image_recall': 0.4160130718954248, 'val_image_f1': 0.38605555555555554}
2026-09-13 06:35:39,509 | INFO | src.trainer.trainer | Epoch 23/60 val_f1=0.38059108968887945 val_image_f1=0.38605555555555554
2026-09-13 06:35:39,510 | INFO | src.trainer.trainer | Epoch 24/60 learning rate set to 7.02657e-05
2026-09-13 06:37:38,404 | INFO | src.trainer.trainer | Epoch 24/60 train_loss=0.635652
